PU-Name,Latitude,Longitude,APC,LP,PDP,NNPP
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL VIII,6.353232,5.703973,9,131,8,3
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL IX,6.3076912,5.6485377,8,93,9,0
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL X,6.3227824,5.6430875,9,146,9,2
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XI,6.3182483,5.6826122,8,109,11,1
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XII,6.3227824,5.6430875,9,78,10,1
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XIII,6.3227824,5.6430875,4,106,16,2
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XIV,6.3227824,5.6430875,9,122,11,0
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XV,6.3227824,5.6430875,8,120,11,0
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XVI,6.3227824,5.6430875,3,90,20,0
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XVII,6.3227824,5.6430875,1,63,11,0
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XVIII,6.3076912,5.6485377,9,88,4,4
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XIX,6.3227824,5.6430875,9,145,6,1
ST. SAVIOUR - IVBIYENEVA PRIMARY SCHOOL XX,51.4599417,-0.0098692,7,160,9,0
AVBIANA - OGIANA PRIMARY SCHOOL I,6.3364757,5.6271254,3,117,9,0
AVBIANA - OGIANA PRIMARY SCHOOL II,6.3403482,5.6295919,10,115,11,1
ST. SAVIOUR - UMELU SEC. SCHOOL I,6.3145617,5.6733994,9,170,14,1
ST. SAVIOUR - UMELU SEC. SCHOOL II,6.3145617,5.6733994,7,183,16,5
ST. SAVIOUR - UMELU PRIMARY SCHOOL I,6.314063,5.675826,8,180,5,3
ST. SAVIOUR - UMELU PRIMARY SCHOOL II,6.3145617,5.6733994,2,151,18,0
ST. SAVIOUR - OGUOLA COLLEGE I,6.3294041,5.6529479,10,146,13,3
ST. SAVIOUR - OGUOLA COLLEGE II,6.3264157,5.6546466,12,130,6,1
ST. SAVIOUR - OGUOLA COLLEGE IV,6.3264157,5.6546466,6,114,18,2
ST. SAVIOUR - OGUOLA COLLEGE V,6.3264157,5.6546466,4,95,16,0
ST. SAVIOUR - OGUOLA COLLEGE VI,6.3264157,5.6546466,5,51,11,1
ST. SAVIOUR - OGUOLA COLLEGE VII,6.3264157,5.6546466,13,66,10,1
ST. SAVIOUR - OGUOLA COLLEGE VIII,6.3294041,5.6529479,4,80,12,0
ST. SAVIOUR - OGUOLA COLLEGE  IX,6.3264157,5.6546466,7,83,16,3
ST. SAVIOUR - OGUOLA COLLEGE X,6.3264157,5.6546466,9,76,16,2
ST. SAVIOUR - OGUOLA COLLEGE XI,6.3264157,5.6546466,3,84,9,0
ST. SAVIOUR - OGUOLA COLLEGE XII,6.3264157,5.6546466,16,99,3,0
GORRETTI - NIGER COLLEG E I,6.3489486,5.6161,0,0,0,0
GORRETTI - NIGER COLLEG E II,6.3489486,5.6161,12,92,10,0
GORRETTI - NIGER COLLEG E III,6.3489486,5.6161,10,111,35,3
GORRETTI - NIGER COLLEG E IV,6.6341831,5.9304056,16,130,8,1
GORRETTI - NIGER COLLEG E V,6.3489486,5.6161,12,123,9,0
GORRETTI - NIGER COLLEG E VI,6.3489486,5.6161,23,140,12,2
GORRETTI - NIGER COLLEG E VII,6.3489486,5.6161,11,85,6,2
GORRETTI - NIGER COLLEG E VIII,6.3489486,5.6161,13,113,20,0
GORRETTI - NIGER COLLEG E  IX,6.3489486,5.6161,8,112,17,0
GORRETTI - NIGER COLLEG E X,6.3489486,5.6161,14,146,7,0
GORRETTI - ETETE PRIMARY SCHOOL I,6.2945633,5.6377887,9,97,4,1
GORRETTI - ETETE PRIMARY SCHOOL II,6.2945633,5.6377887,11,136,2,3
GORRETTI - MARIA GORRETTI COLLEGE I,6.2812854,5.6840018,24,190,44,2
GORRETTI - MARIA GORRETTI COLLEGE II,6.3108323,5.6386409,7,186,24,0
GORRETTI - MARIA GORRETTI COLLEGE III,6.3108323,5.6386409,13,233,13,4
GORRETTI - MARIA GORRETTI COLLEGE V,6.2812854,5.6840018,16,169,25,1
GORRETTI - MARIA GORRETTI COLLEGE VI,6.2812854,5.6840018,9,155,10,3
GORRETTI - SCH. OF HEALTH TECHNOLOGY I,6.306059,5.6411901,5,167,7,4
GORRETTI - SCH. OF HEALTH TECHNOLOGY II,6.306059,5.6411901,10,117,3,0
GORRETTI - SCH. OF HEALTH TECHNOLOGY III,6.306059,5.6411901,15,128,15,3
GORRETTI - SCH. OF HEALTH TECHNOLOGY IV,6.306059,5.6411901,8,117,13,0
GORRETTI - SCH. OF HEALTH TECHNOLOGY VI,6.306059,5.6411901,0,0,0,0
GORRETTI - IVBIOTOR PRIMARY SCHOOL II,6.3009889,5.6321488,12,158,8,1
GORRETTI - IVBIOTOR PRIMARY SCHOOL III,6.3009889,5.6321488,5,121,16,0
GORRETTI - IVBIOTOR PRIMARY SCHOOL IV,6.3009889,5.6321488,14,64,4,0
GORRETTI - IVBIOTOR PRIMARY SCHOOL V,6.3009889,5.6321488,2,120,12,0
GORRETTI - IVBIOTOR PRIMARY SCHOOL VI,6.3009889,5.6321488,12,117,3,5
GORRETTI - IVBIOTOR PRIMARY SCHOOL VII,6.3009889,5.6321488,9,128,7,2
GORRETTI - IVBIOTOR PRIMARY SCHOOL VIII,6.3009889,5.6321488,15,111,5,0
GORRETTI - ITOHAN GIRLS G/SCHOOL I,6.3021477,5.6310695,8,117,5,1
GORRETTI - ITOHAN GIRLS G/SCHOOL II,6.3021477,5.6310695,15,116,3,0
GORRETTI - ITOHAN GIRLS G/SCHOOL III,6.3021477,5.6310695,11,107,22,1
GORRETTI - MANPOWER DEV. CENTRE III,6.2701005,5.7097005,6,109,3,0
GORRETTI - MANPOWER DEV. CENTRE IV,6.2701005,5.7097005,5,123,4,0
GORRETTI - MANPOWER DEV. CENTRE V,6.2701005,5.7097005,14,133,43,4
GORETTI - OGIOMO SEC. SCHOOL I,6.2812854,5.6840018,29,209,1,1
GORETTI - OGIOMO SEC. SCHOOL II,6.2812854,5.6840018,21,183,10,1
GORETTI - OGIOMO SEC. SCHOOL III,6.2812854,5.6840018,14,199,6,0
GORETTI - OGIOMO SEC. SCHOOL IV,6.2812854,5.6840018,11,172,6,0
ETETE M.P.D. - ETETE P/S   I,6.2945633,5.6377887,6,112,8,0
ETETE M.P.D. - ETETE P/S    II,6.2701005,5.7097005,9,154,3,1
ETETE M.P.D. - MANPOWER DEV. I,6.6341831,5.9304056,7,147,6,0
ETETE M.P.D. - MANPOWER DEV. II,6.6341831,5.9304056,10,128,18,2
GORRETTI - MANPOWER DEV. CENTRE I,6.2701005,5.7097005,9,125,11,2
GORRETTI - MANPOWER DEV. CENTRE II,6.2701005,5.7097005,7,166,7,0
ETETE M.P.D. - ETETE PRIMARY SCHOOL,6.2945633,5.6377887,0,0,0,0
ENIKARO - ENIKARO PRIMARY SCHOOL I,6.3195423,5.6538562,17,87,19,3
ENIKARO - ENIKARO PRIMARY SCHOOL II,6.3195423,5.6538562,2,70,8,1
ENIKARO - ENIKARO PRIMARY SCHOOL III,6.3195423,5.6538562,12,133,25,2
ENIKARO - ENIKARO PRIMARY SCHOOL IV,6.3195423,5.6538562,8,139,22,0
ENIKARO - ENIKARO PRIMARY SCHOOL V,6.3195423,5.6538562,10,117,4,0
ENIKARO - ENIKARO PRIMARY SCHOOL VI,6.3195423,5.6538562,4,125,7,0
ENIKARO - ENIKARO PRIMARY SCHOOL VII,6.3195423,5.6538562,4,99,22,1
ENIKARO - ENIKARO PRIMARY SCHOOL VIII,6.3195423,5.6538562,4,95,13,1
ENIKARO - ENIKARO PRIMARY SCHOOL IX,6.3195423,5.6538562,12,109,8,1
"ENIKARO, UGBEKUN HEALTH CENTRE I",6.3118,5.6417,5,165,5,0
"ENIKARO, UGBEKUN HEALTH CENTRE II",6.3118,5.6417,24,138,8,5
"ENIKARO, UGBEKUN HEALTH CENTRE III",6.3118,5.6417,5,141,9,0
"ENIKARO, UGBEKUN HEALTH CENTRE IV",6.3118,5.6417,7,144,8,5
"ENIKARO, UGBEKUN HEALTH CENTRE V",6.3118,5.6417,6,142,19,0
ENIKARO - UGBEKUN PRIMARY SCHOOL I,6.3076912,5.6485377,19,152,13,0
ENIKARO - UGBEKUN PRIMARY SCHOOL II,6.3076912,5.6485377,0,0,0,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL I,6.3076912,5.6485377,14,163,6,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL II,6.3076912,5.6485377,5,98,20,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL III,6.3076912,5.6485377,9,109,13,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL V,6.3076912,5.6485377,11,115,9,3
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL VI,6.3076912,5.6485377,23,133,23,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL VII,6.3076912,5.6485377,9,135,27,2
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL VIII,6.3076912,5.6485377,6,134,29,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   IX,6.3076912,5.6485377,18,150,17,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   X,6.3076912,5.6485377,14,136,64,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   XII,6.3076912,5.6485377,9,131,31,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   XIII,6.3076912,5.6485377,5,124,18,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   XIV,6.3076912,5.6485377,11,203,32,3
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL    XV,6.3076912,5.6485377,7,107,17,1
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL    XVI,6.3076912,5.6485377,4,158,23,0
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL     XVII,6.3076912,5.6485377,9,166,22,2
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL    XVIII,6.3076912,5.6485377,12,118,12,3
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL     XIX,6.3076912,5.6485377,6,119,10,2
UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   XX,6.3076912,5.6485377,5,110,34,2
OLOGBOSERE PRY SCH (UGBEKUN TOWN HALL I),6.3076912,5.6485377,15,115,15,0
"IDOGBO, IDOGBO - AKUGBE PRIMARY SCHOOL I",6.2280382,5.7089241,4,138,12,1
"IDOGBO, IDOGBO - AKUGBE PRIMARY SCHOOL II",6.2280382,5.7089241,7,126,11,2
"IDOGBO, IDOGBO - AKUGBE PRIMARY SCHOOL III",6.2280382,5.7089241,8,147,6,0
"IDOGBO, IDOGBO - OZOLUA PRIMARY SCHOOL",6.0612215,5.6615324,3,76,1,1
"IDOGBO, IDOGBO - ADOLOR PRIMARY SCHOOL I",6.2280382,5.7089241,8,167,20,3
"IDOGBO, IDOGBO - ADOLOR PRIMARY SCHOOL II",6.2706492,5.7089354,11,151,5,2
"IDOGBO, IDOGBO - AORO PRIMARY SCHOOL I",6.2280382,5.7089241,3,87,4,0
"IDOGBO, IDOGBO - AORO PRIMARY SCHOOL II",6.2280382,5.7089241,6,65,7,1
"IDOGBO, IDOGBO - SPACE NEAR ABICO MARKET I",6.2280382,5.7089241,5,140,8,2
"IDOGBO, IDOGBO - SPACE NEAR ABICO MARKET II",6.2280382,5.7089241,5,109,7,0
"IDOGBO, IDOGBO - SPACE NEAR ABICO MARKET III",6.2280382,5.7089241,8,133,9,1
AVBIAKAGBA TOWN HALL (SPACE NEAR MARKET IV),6.1214184,5.6655605,3,59,1,0
"IDOGBO, IDOGBO - SPACE NEAR ABICO MARKET IV",6.2280382,5.7089241,1,108,9,1
"IDOGBO, IDOGBO - SPACE NEAR ABICO MARKET V",6.2280382,5.7089241,5,123,10,1
"IDOGBO, IDOGBO - NEAR NDLA OFFICE I",6.2280382,5.7089241,13,126,6,3
"IDOGBO, IDOGBO - NEAR NDLA OFFICE III",6.2280382,5.7089241,5,117,10,0
"IDOGBO, IDOGBO - NEAR NDLA OFFICE  IV",6.2280382,5.7089241,8,72,3,0
"IDOGBO, IDOGBO - NEAR NDLA OFFICE  V",6.2280382,5.7089241,8,109,5,0
"IDOGBO, IDOGBO - NEAR NDLA OFFICE VI",6.2280382,5.7089241,8,117,14,0
"OKA SECONDARY SCH,OKA 3 (NEAR NDLEA OFFICE VII)",6.2817138,5.6352801,15,130,10,3
"IDOGBO, IDOGBO - WOMEN SPECIAL CENTRE I",6.2280382,5.7089241,4,86,28,0
"IDOGBO, IDOGBO - WOMEN SPECIAL CENTRE II",6.2280382,5.7089241,0,66,23,2
"IDOGBO, IDOGBO - OBAZEGBON PRIMARY SCHOOL",6.2280382,5.7089241,5,56,5,2
IDOGBO - OGUBOR PRIMARY SCHOOL,6.3076912,5.6485377,5,95,2,0
IDOGBO - HEALTH CENTRE,6.2280382,5.7089241,3,68,20,2
IKPE - ELAISUBI PRIMARY SCHOOL,6.2519628,5.7311618,8,31,68,0
OBAGIENOKPORO - OSENWEDE PRIMARY SCHOOL  I,6.353232,5.703973,2,20,0,1
OBAGIENOKPORO - OSENWEDE PRIMARY SCHOOL  II,6.353232,5.703973,3,29,0,0
IDOGBO - OSENWEDE PRIMARY SCHOOL I,6.2280382,5.7089241,0,23,1,0
IDOGBO - OSENWEDE PRIMARY SCHOOL  II,6.2280382,5.7089241,1,13,0,0
ULEGUN - ULEGUN PRIMARY SCHOOL,6.2812854,5.6840018,0,92,6,0
UTESI - UTESI TOWN HALL,6.2568282,5.7229147,7,144,22,0
OKA - MARKET SPACE,6.2905464,5.662271,17,246,21,6
UYINWENDIN - UYINWENDIN TOWN HALL I,6.2701005,5.7097005,3,28,10,0
UYINWENDIN - UYINWENDIN TOWN HALL II,6.2313749,5.6894941,1,16,8,0
OKA I NOMAYO - GOOD FOUNDATION SEC. SCHOOL,6.3140619,5.6151215,14,149,43,0
PRESCO CAMPS - PRESCO HALL,6.226887,5.636037,1,80,8,2
UYINMWENDIN - UYINMWENDIN,6.2280382,5.7089241,1,8,4,0
OBAYANTOR - AIGHEMUSA PRIMARY SCHOOL I,6.3076912,5.6485377,2,115,34,3
EVBOABOGUN TOWN HALL (AIGHEMUSA PRY SCH. II),6.3383341,5.5721199,1,292,17,4
OBAYANTOR - IYENOROHO PRIMARY SCH. I,6.188609,5.682498,14,108,42,0
OBAYANTOR - IYENOROHO PRIMARY SCH. II,6.353232,5.703973,25,144,15,2
OBAYANTOR - OGHEGHE TOWN HALL,6.2174476,5.628558,5,0,16,8
OBAYANTOR - OSEMWENDE PRIMARY SCHOOL I,6.226842,5.634268,3,128,9,1
OBAYANTOR - OSEMWENDE PRIMARY SCHOOL II,6.0612215,5.6615324,25,144,15,2
OBAYANTOR - HEALTH CENTRE,6.144413,5.624767,5,109,24,0
OBAYANTOR - OBIAGIENEVBUOSA T. HALL I,6.226887,5.636037,33,177,37,1
OBAYANTOR - OBIAGIENEVBUOSA T. HALL II,6.2701005,5.7097005,0,52,3,1
OBAYANTOR - OBIAGIENEVBUOSA HEALTH HALL,6.2701005,5.7097005,8,22,1,0
OBAYANTOR - EDO PRIMARY SCHOOL I,6.168785,5.562154,1,25,4,0
OBAYANTOR - EDO PRIMARY SCHOOL II,6.0612215,5.6615324,1,11,6,0
OBAYANTOR - EDO PRIMARY SCHOOL III,6.0612215,5.6615324,0,18,9,0
"OBAYANTOR, OBASUNYI COLLEGE",6.1035393,5.6600053,0,56,10,1
OBAYANTOR - EWUARE PRIMARY SCHOOL I,6.144413,5.624767,6,98,7,0
OBAYANTOR - EWUARE PRIMARY SCHOOL  II,6.3444374,5.608896,5,60,7,0
OBAYANTOR - EWUARE PRIMARY SCHOOL  III,6.3444374,5.608896,4,82,5,0
OBAYANTOR  IYI - EWUARE PRIMARY SCHOOL  I,6.194337,5.63704,9,105,7,0
OBAYANTOR  IYI - EWUARE PRIMARY SCHOOL   II,6.194334,5.637045,8,80,7,0
OBAYANTOR  IYI - EWUARE PRIMARY SCHOOL   II,6.194334,5.637045,25,144,15,2
OBAYANTOR - ROBBER R. INSTITUTE PRIMARY SCH.   II,6.3503231,5.6526467,15,149,18,3
OBAYANTOR - OTOMWEN PRIMARY SCHOOL,6.353232,5.703973,7,213,28,0
OBAYANTOR - ODIGIE PRIMARY SCHOOL   I,6.0612215,5.6615324,6,76,6,0
OBAYANTOR - ODIGIE PRIMARY SCHOOL   II,6.0612215,5.6615324,2,63,4,1
OBAYANTOR - ODIGIE PRIMARY SCHOOL   III,6.0612215,5.6615324,14,118,18,1
OBAYANTOR - OGBEKPEN TOWN HALL,6.2701005,5.7097005,3,128,30,2
"OLOGBO, OLOGBO HEALTH CENTRE",6.0600036,5.624767,13,97,18,4
"OLOGBO, OHON PRIMARY SCHOOL  I",6.0612215,5.6615324,9,90,15,3
"OLOGBO, OHON PRIMARY SCHOOL  III",6.0612215,5.6615324,3,89,29,1
"OLOGBO, OHON PRIMARY SCHOOL   IV",6.0612215,5.6615324,6,83,15,0
"OLOGBO, IMASABOR TOWN HALL",6.0603627,5.6600358,5,67,6,0
"OPEN SPACE, NEAR AUNTY MARIA SCH. (OBAYANTOR OZOLUA PRY SCH)",6.226887,5.636037,0,0,0,0
"OPEN SPACE, NEAR AUNTY MARIA SCH. (OBAYANTOR OZOLUA PRY SCH)",6.226887,5.636037,4,43,8,0
"OLOGBO, OZOLUA GRAMM. SCHOOL   II",6.0744721,5.653679,12,82,20,0
"OLOGBO, OZOLUA GRAMM. SCHOOL   II",6.0744721,5.653679,6,72,28,3
"OLOGBO, OLOGBO TOWN HALL III",6.0603627,5.6600358,0,24,142,0
"OLOGBO, OLOGBO PRIMARY SCHOOL I",6.0612215,5.6615324,2,50,20,0
"OLOGBO, OLOGBO PRIMARY SCHOOL I",6.0612215,5.6615324,2,51,55,3
"OLOGBO, AJATITON HALL",6.044461,5.498789,0,0,5,0
"OLOGBO, AJATITON HALL",6.044461,5.498789,1,21,28,1
"OLOGBO, AJATITON HALL",6.044461,5.498789,0,0,0,0
"OLOGBO, AJATITON HALL",6.044461,5.498789,0,3,3,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,0,1,4,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,1,17,14,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,6,14,53,4
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,2,14,11,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,4,9,5,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,1,32,33,0
"OLOGBO, AJAMIMOGHA T. HALL    II",6.0677135,5.6598319,0,0,0,0
ABIALA - OKETIA P/S ABIALA I,6.0603627,5.6600358,0,0,1,0
AJAMIMOGHA - MARKET SQUARE,6.0603627,5.6600358,1,1,2,0
AJAMIMOGHA - MARKET SQUARE,6.0603627,5.6600358,0,0,0,0
"OGBE I , URHOKPOTA HALL II",6.3338353,5.6215515,0,0,0,0
"OGBE I , URHOKPOTA HALL II",6.3338353,5.6215515,21,174,13,3
"OGBE II , OBASEKI PRIMARY SCHOOL",6.2899684,5.5860162,29,171,16,0
"OGBE II , OBASEKI PRIMARY SCHOOL",6.2899684,5.5860162,24,110,15,1
"OGBE II , OBASEKI PRIMARY SCHOOL",6.2899684,5.5860162,21,200,11,3
"OGBE II , OBASEKI PRIMARY SCHOOL",6.2899684,5.5860162,11,167,9,0
"OGBE IV , OBA AKENZUA  II CULTURAL HALL",6.331047,5.620231,26,122,15,0
"OGBE IV , OBA AKENZUA  II CULTURAL HALL",6.331047,5.620231,20,76,4,0
"OGBE IV , OBA AKENZUA  II CULTURAL HALL",6.331047,5.620231,6,87,7,0
"OGBE IV  IDAH PRIMARY SCHOOL  V / CENTRAL MOTOR PARK, BENIN",6.336014,5.616562,20,148,12,1
"OGBE IV  IDAH PRIMARY SCHOOL VI / CENTRAL MOTOR PARK, BENIN",6.336005,5.616561,15,96,5,0
UZEBU I GARRICK MEM. COMP. PRIMARY SCHOOL I,6.3314199,5.5991945,20,320,12,1
"UZEBU I,  GARRICK MEM. COMP. PRIMARY SCHOOL  II",6.3289786,5.5914451,8,137,4,1
"UZEBU I,  GARRICK MEM. COMP. PRIMARY SCHOOL  III",6.3307091,5.6163931,20,326,20,0
"UZEBU I , GARRICK MEM. COMP. PRIMARY SCHOOL  IV",6.3289786,5.5914451,7,152,4,0
"UZEBU II , OGBE - IBUYA PRIMARY SCHOOL I",6.314348,5.591517,16,165,20,3
"UZEBU II,  OGBE - IBUYA PRIMARY SCHOOL II",6.31435,5.591525,8,190,6,0
"UZEBU II, OGBE - IBUYA PRIMARY SCHOOL III",6.314354,5.591532,10,152,21,1
"UZEBU II, TRADE FAIR COMPLEX PREMISES IV",6.4667714,3.2409433,5,167,12,1
"UZEBU II,  TRADE FAIR COMPLEX PREMISES V",6.320631,5.591554,14,144,4,1
"UZEBU II,  TRADE FAIR COMPLEX PREMISES V",6.320631,5.591554,14,142,20,0
"ISEKHERE I,  UYIOSA PRY SCH. II",6.3307091,5.6163931,17,120,24,2
"ISEKHERE I ,  UYIOSA PRY SCH. III",6.3307091,5.6163931,19,123,18,0
"ISEKHERE I ,  UYIOSA PRY SCH. III",6.3307091,5.6163931,14,118,21,1
"GRA I, STAFF TRAINING CENTRE  I",6.3034057,5.6158755,18,158,8,0
"GRA I,  STAFF TRAINING CENTRE  II",6.3034057,5.6158755,12,120,11,0
"GRA II ,  OREDO MODEL PRIMARY SCHOOL  I",6.3328493,5.6315407,0,0,0,0
"GRA II, OREDO MODEL PRIMARY. SCHOOL II",6.3232072,5.6277558,19,149,11,3
"GRA III,  EBENEZER PRIMARY SCHOOL  I",6.3091797,5.61869,16,268,9,1
"GRA III,  EBENEZER PRIMARY SCHOOL  I",6.3091797,5.61869,16,175,10,0
"GRA III,  EBENEZER PRIMARY SCHOOL  I",6.3091797,5.61869,19,294,14,2
"ETETE II , NNPC ETETE  II",6.2298249,5.5407299,12,244,17,7
"EKAE/UGBOR,  EKAE PRIMARY SCHOOL",6.2632076,5.6319349,16,137,8,1
"EKAE/UGBOR,  IVBIORE PRY. SCHOOL",6.267481,5.6081006,5,257,11,0
"ELEMA  I,  ANGLICAN G/G SCHOOL  I",6.3574728,5.6247562,12,235,3,0
"ELEMA  I , ANGLICAN G/G SCHOOL   III",6.3574728,5.6247562,15,238,11,0
"ELEMA  II , GREATER TOMORROW SEC. SCHOOL   I",6.3013844,5.6052242,11,267,7,0
"ELEMA  II , GREATER TOMORROW SEC. SCHOOL   II",6.3013844,5.6052242,8,217,8,0
"ELEMA  II , GREATER TOMORROW SEC. SCHOOL   III",6.3013844,5.6052242,15,194,8,0
"OGBA I,  AIRFORCE PRIMARY SCHOOL  I",6.3020407,5.5918425,0,0,0,0
"OGBA I, AIRFORCE PRIMARY SCHOOL   II",6.3020407,5.5918425,15,250,2,5
"OGBA  I,  OBA EWUARE COLLEGE",6.2964612,5.601612,21,339,8,1
"OGBA I , IGHIWIYISI PRIMARY SCHOOL",6.2842458,5.5834717,7,169,8,0
"OGBA  II , AKENZUA PRMARY SCHOOL",6.2464559,5.6231094,22,291,10,3
"ODIA II , EWEKA PRIMARY SCHOOL",6.2312608,5.5861113,4,127,6,0
"ODIA II , UMEGBE PRIMARY SCHOOL",6.2303414,5.554509,5,91,31,1
"OGBA III,  OKUNBOR PRIMARY SCHOOL",6.2945633,5.6377887,9,100,22,1
"OGBA III,  OKUNBOR PRIMARY SCHOOL",6.2945633,5.6377887,7,371,12,0
"OGBA III,  OGISO PRIMARY SCHOOL",6.2842458,5.5834717,10,195,9,3
"OGBA III,  OBAIZAMOMWAN PRIMARY SCHOOL",6.2276147,5.5165577,5,90,0,0
"OGBA III,  OVBO PRIMARY SCHOOL",6.2945633,5.6377887,1,30,7,1
"OGBA III, I UGOGOGIN PRIMARY SCHOOL",6.3377608,5.6020585,10,46,0,0
OGBA IV AKPAE PRIMARY SCHOOL,6.3009889,5.6321488,8,94,6,2
OGBA IV AKPAE PRIMARY SCHOOL,6.3009889,5.6321488,16,56,15,0
"OGBA IV , UROMA PRIMARY SCHOOL",6.3009889,5.6321488,4,108,35,0
"OGBA IV , IRHUENOWINA PRIMARY SCHOOL",6.3009889,5.6321488,8,84,6,1
"UZEBU I , OWEGIE PRIMARY SCHOOL  I",6.3373943,5.605609,14,142,8,2
"UZEBU I,  OWEGIE PRIMARY SCHOOL  II",6.3373943,5.605609,20,172,11,0
UZEBU I OWEGIE PRIMARY SCHOOL    IV,6.3373943,5.605609,35,135,10,0
"UZEBU,  I OWEGIE PRIMARY SCHOOL   V",6.3373943,5.605609,36,149,12,0
"UZEBU II  , OWINA PRMARY SCHOOL I",6.3377608,5.6020585,7,140,1,0
"UZEBU II, OWINA PRMARY SCHOOL II",6.3377608,5.6020585,16,144,5,0
"UZEBU  III , EZOMO PRIMARY SCHOOL I -I",6.341292,5.5991513,19,159,5,0
"UZEBU  III,  EZOMO PRIMARY SCHOOL I - II",6.341292,5.5991513,14,110,11,0
"UZEBU  III , EZOMO PRIMARY SCHOOL I-III",6.341292,5.5991513,18,141,23,0
"UZEBU IV,  EZOMO PRIMARY SCHOOL II-I",6.341292,5.5991513,22,165,7,1
"UZEBU IV , EZOMO PRIMARY SCHOOL II-II",6.341292,5.5991513,15,178,11,2
"UZEBU IV,  EZOMO PRIMARY SCHOOL II-IV",6.341292,5.5991513,8,178,22,0
"UZEBU IV , EZOMO PRIMARY SCHOOL II- V",6.341292,5.5991513,18,136,29,1
"UZEBU V,  OWINA PRIMARY SCHOOL  I",6.3377608,5.6020585,13,163,12,1
"UZEBU V , OWINA PRIMARY SCHOOL  II",6.3377608,5.6020585,4,153,5,0
"UZEBU V,  OWINA PRIMARY SCHOOL   III",6.3377608,5.6020585,11,137,10,3
"UZEBU V,  OWINA PRIMARY SCHOOL   IV",6.3377608,5.6020585,14,97,6,1
"OLIHA I , OBA AKENZUA PRIMARY SCHOOL  I",6.3491219,5.6166233,17,103,8,0
"OLIHA I , OBA AKENZUA PRIMARY SCHOOL  II",6.3491219,5.6166233,27,161,11,0
"OLIHA I , OBA AKENZUA PRIMARY SCHOOL  III",6.3491219,5.6166233,20,176,8,0
"OLIHA I , OBA AKENZUA PRIMARY SCHOOL  IV",6.3491219,5.6166233,13,147,9,5
"OLIHA I , OBA AKENZUA PRIMARY SCHOOL  V",6.3491219,5.6166233,20,180,5,1
"OLIHA I,  OBA AKENZUA PRIMARY SCHOOL  VI",6.3414741,5.6006269,12,84,13,0
"OLIHA II, EWUARE PRIMARY SCHOOL I",6.3444374,5.608896,33,129,3,0
"OLIHA II , EWUARE PRIMARY SCHOOL II",6.3444374,5.608896,16,107,12,0
"OLIHA II,  EWUARE PRIMARY SCHOOL III",6.3444374,5.608896,23,106,4,0
"OLIHA II , EWUARE PRIMARY SCHOOL IV",6.3444374,5.608896,22,103,5,1
"OLIHA II , EWUARE PRIMARY SCHOOL V",6.3444374,5.608896,0,0,0,0
"URUBI EVBIEMWEN,  EMOTAN COLLEGE  II",6.3469688,5.6203437,31,112,9,2
"URUBI EVBIEMWEN,  EMOTAN COLLEGE   III",6.3469688,5.6203437,16,106,9,0
"URUBI EVBIEMWEN,  EMOTAN COLLEGE  IV",6.3469688,5.6203437,80,102,8,0
